source,max_parents,edge_probability,batch_size,embedding_dim,n_features,caggregate,step,loss,tv_dist
dag,10,0.2,256,100,10,avg,250,0.4970096564292908,0.0733134153412187
dag,10,0.2,256,100,10,avg,500,0.4872832053899765,0.0686838351700041
dag,10,0.2,256,100,25,avg,250,0.5724449253082275,0.1208741879562498
dag,10,0.2,256,100,25,avg,500,0.5625003927946091,0.1089491307982534
dag,10,0.2,256,100,50,avg,250,0.621498955488205,0.1533743501347562
dag,10,0.2,256,100,50,avg,500,0.6149633836746216,0.1428970360740545
dag,10,0.2,256,100,100,avg,250,0.6205591142177582,0.1551980699791482
dag,10,0.2,256,100,100,avg,500,0.6160072755813598,0.1544437820462482
dag,10,0.2,256,100,10,attention,250,0.5669501793384552,0.06194127934573
dag,10,0.2,256,100,10,attention,500,0.5577785253524781,0.0608878542586399
dag,10,0.2,256,100,25,attention,250,0.5516920083761215,0.1365314296199225
dag,10,0.2,256,100,25,attention,500,0.5398762756586075,0.1279096105184177
dag,10,0.2,256,100,50,attention,250,0.6002937185764313,0.1284296668630579
dag,10,0.2,256,100,50,attention,500,0.5852870047092438,0.1198731689288729
dag,10,0.2,256,100,100,attention,250,0.6028560245037079,0.1533482586537281
dag,10,0.2,256,100,100,attention,500,0.6060464406013488,0.1507266353664317
dag,10,0.2,256,200,10,avg,250,0.5069564580917358,0.1046378517276383
dag,10,0.2,256,200,10,avg,500,0.522506799697876,0.0960905967916154
dag,10,0.2,256,200,25,avg,250,0.5747739887237548,0.1266207459550433
dag,10,0.2,256,200,25,avg,500,0.5574867391586303,0.1211439591023458
dag,10,0.2,256,200,50,avg,250,0.6170675420761108,0.1542488591300481
dag,10,0.2,256,200,50,avg,500,0.6060886228084564,0.1437824955623213
dag,10,0.2,256,200,100,avg,250,0.6099200057983398,0.172626390872676
dag,10,0.2,256,200,100,avg,500,0.6044859647750854,0.1744155250244171
dag,10,0.2,256,200,10,attention,250,0.3732074421644211,0.0254554364104281
dag,10,0.2,256,200,10,attention,500,0.3764212936162948,0.0306999491772351
dag,10,0.2,256,200,25,attention,250,0.5588032257556915,0.1169046254716556
dag,10,0.2,256,200,25,attention,500,0.5583685415983201,0.1139173429061523
dag,10,0.2,256,200,50,attention,250,0.5629236745834351,0.1324046635276085
dag,10,0.2,256,200,50,attention,500,0.551253753900528,0.1303081971120646
dag,10,0.2,256,200,100,attention,250,0.6358877122402191,0.1742538717934723
dag,10,0.2,256,200,100,attention,500,0.6333848989009857,0.1760463495482389
dag,10,0.2,256,300,10,avg,250,0.6417939114570618,0.0897458978477253
dag,10,0.2,256,300,10,avg,500,0.6371901285648346,0.0886386694875532
dag,10,0.2,256,300,25,avg,250,0.560187765955925,0.1228140982391412
dag,10,0.2,256,300,25,avg,500,0.5522007042169571,0.1155668352766365
dag,10,0.2,256,300,50,avg,250,0.5920341372489929,0.1630642619454226
dag,10,0.2,256,300,50,avg,500,0.5825857043266296,0.1480463523510888
dag,10,0.2,256,300,100,avg,250,0.6224419224262238,0.1783751038283685
dag,10,0.2,256,300,100,avg,500,0.6188230669498443,0.1755486222233052
dag,10,0.2,256,300,10,attention,250,0.4590817362070084,0.0355061734981691
dag,10,0.2,256,300,10,attention,500,0.4493102037906646,0.0394616814327787
dag,10,0.2,256,300,25,attention,250,0.5936263978481293,0.1290029557428106
dag,10,0.2,256,300,25,attention,500,0.5793751192092895,0.1248718520392472
dag,10,0.2,256,300,50,attention,250,0.644375741481781,0.1649646924130568
dag,10,0.2,256,300,50,attention,500,0.6466306102275848,0.1639867407020774
dag,10,0.2,64,300,100,attention,250,0.6452784538269043,0.1872457243184039
dag,10,0.2,64,300,100,attention,500,0.624127506017685,0.17940835392022
dag,10,0.2,256,10,10,avg,250,0.5491757464408874,0.1071171298792593
dag,10,0.2,256,10,10,avg,500,0.5518341386318206,0.095341668170739
dag,10,0.2,256,10,10,attention,250,0.5614268457889557,0.0671998747095965
dag,10,0.2,256,10,10,attention,500,0.5529590076208115,0.053988589831438
dag,10,0.2,256,10,25,avg,250,0.6292126274108887,0.1598493763568745
dag,10,0.2,256,10,25,avg,500,0.6205727255344391,0.1491006074749386
dag,10,0.2,256,10,25,attention,250,0.5461002868413926,0.095528028238784
dag,10,0.2,256,10,25,attention,500,0.5438871115446091,0.0911272333294028
dag,10,0.2,256,10,50,avg,250,0.6195416736602783,0.1693368976821435
dag,10,0.2,256,10,50,avg,500,0.6179019498825074,0.1659454241789782
dag,10,0.2,256,10,50,attention,250,0.5850948405265808,0.1592442922211058
dag,10,0.2,256,10,50,attention,500,0.5784382343292236,0.1511995703743138
dag,10,0.2,256,10,100,avg,250,0.6254453873634338,0.1588971419746833
dag,10,0.2,256,10,100,avg,500,0.632047313451767,0.1603681002802348
dag,10,0.2,256,10,100,attention,250,0.6014313960075378,0.1567866654076422
dag,10,0.2,256,10,100,attention,500,0.6034556257724762,0.1565075713569895
dag,10,0.2,256,25,10,avg,250,0.6097755396366119,0.1082898802680202
dag,10,0.2,256,25,10,avg,500,0.5934887373447418,0.0912454906547923
dag,10,0.2,256,25,10,attention,250,0.585024231672287,0.043375009310324
dag,10,0.2,256,25,10,attention,500,0.5858478868007659,0.044614084433991
dag,10,0.2,256,25,25,avg,250,0.5813533556461334,0.139527519790308
dag,10,0.2,256,25,25,avg,500,0.5817790246009826,0.1283362563086299
dag,10,0.2,256,25,25,attention,250,0.5686802160739899,0.1296187792406082
dag,10,0.2,256,25,25,attention,500,0.5459369927644729,0.1231757160208972
dag,10,0.2,256,25,50,avg,250,0.5939935791492462,0.1609678883689467
dag,10,0.2,256,25,50,avg,500,0.5856282413005829,0.1510603870725752
dag,10,0.2,256,25,50,attention,250,0.5759141552448273,0.1429701189260448
dag,10,0.2,256,25,50,attention,500,0.5691717052459717,0.1289812567424355
dag,10,0.2,256,25,100,avg,250,0.6109641110897064,0.1603408212550508
dag,10,0.2,256,25,100,avg,500,0.6055441212654114,0.1608336292073787
dag,10,0.2,256,25,100,attention,250,0.6066242897510529,0.1602966039914673
dag,10,0.2,256,25,100,attention,500,0.6044640874862671,0.1580040095391903
dag,10,0.2,256,50,10,avg,250,0.5753654837608337,0.0819630626305381
dag,10,0.2,256,50,10,avg,500,0.5727082598209381,0.07040400573657
dag,10,0.2,256,50,10,attention,250,0.388054671883583,0.0471927038545218
dag,10,0.2,256,50,10,attention,500,0.3871427321434021,0.0424361959956655
dag,10,0.2,256,50,25,avg,250,0.5785885393619538,0.1094216025177367
dag,10,0.2,256,50,25,avg,500,0.5683371019363403,0.1041320900440209
dag,10,0.2,256,50,25,attention,250,0.5932423543930053,0.1146313260387179
dag,10,0.2,256,50,25,attention,500,0.5834853720664978,0.1086085259346981
dag,10,0.2,256,50,50,avg,250,0.5990474355220795,0.1662344675951947
dag,10,0.2,256,50,50,avg,500,0.5868742966651916,0.1603383229316827
dag,10,0.2,256,50,50,attention,250,0.5868262541294098,0.1425604958486258
dag,10,0.2,256,50,50,attention,500,0.5697132384777069,0.1311124403816344
dag,10,0.2,256,50,100,avg,250,0.6442140972614289,0.176663124499016
dag,10,0.2,256,50,100,avg,500,0.6398953235149384,0.1756612881972774
dag,10,0.2,256,50,100,attention,250,0.6070249211788178,0.1650847819279306
dag,10,0.2,256,50,100,attention,500,0.6029933452606201,0.1612932094226142
dag,10,0.2,256,1,10,avg,250,0.6529043531417846,0.1571457966026738
dag,10,0.2,256,1,10,avg,500,0.6476164257526398,0.1537369059574085
dag,10,0.2,256,1,10,avg,250,0.4910900956392288,0.1034874266438331
dag,10,0.2,256,1,10,avg,500,0.481256336569786,0.0927245526389087
dag,10,0.2,256,1,10,attention,250,0.4614333438873291,0.0551259678873292
dag,10,0.2,256,1,10,attention,500,0.4436009228229522,0.0398109575736114
dag,10,0.2,256,1,25,avg,250,0.6394248735904694,0.1585007147917956
dag,10,0.2,256,1,25,avg,500,0.6399897980690002,0.1577285872907266
dag,10,0.2,256,1,25,attention,250,0.5710712015628815,0.1566068898376699
dag,10,0.2,256,1,25,attention,500,0.567158704996109,0.1535468490673762
dag,10,0.2,256,1,50,avg,250,0.6040358471870423,0.156307942968509
dag,10,0.2,256,1,50,avg,500,0.5934189176559448,0.1530795039688227
dag,10,0.2,256,1,50,attention,250,0.6005725061893463,0.1416610501563158
dag,10,0.2,256,1,50,attention,500,0.6001834774017334,0.1407884083409982
dag,10,0.2,256,1,100,avg,250,0.6314995670318604,0.1774493878413649
dag,10,0.2,256,1,100,avg,500,0.6314513099193573,0.171625035562962
dag,10,0.2,256,1,100,attention,250,0.6350759303569794,0.1725433523193452
dag,10,0.2,256,1,100,attention,500,0.6320316743850708,0.1702949663580158
dag,10,0.2,256,2,10,avg,250,0.6112699449062348,0.1098606648262037
dag,10,0.2,256,2,10,avg,500,0.6132889258861541,0.1077219223454752
dag,10,0.2,256,2,10,attention,250,0.4969593042135238,0.065872285861064
dag,10,0.2,256,2,10,attention,500,0.4926040214300156,0.0630575631758579
dag,10,0.2,256,2,25,avg,250,0.6337803149223328,0.1728293867585364
dag,10,0.2,256,2,25,avg,500,0.6288983011245728,0.170266979636927
dag,10,0.2,256,2,25,attention,250,0.5993153095245362,0.1444302980216797
dag,10,0.2,256,2,25,attention,500,0.5991448831558227,0.1429060192586434
dag,10,0.2,256,2,50,avg,250,0.6241679334640503,0.1728587667423884
dag,10,0.2,256,2,50,avg,500,0.6252372443675995,0.1713601153167123
dag,10,0.2,256,2,50,attention,250,0.6225552725791931,0.1417184742775386
dag,10,0.2,256,2,50,attention,500,0.6242417621612549,0.1426618346545702
dag,10,0.2,256,2,100,avg,250,0.6075759863853455,0.1616604739268672
dag,10,0.2,256,2,100,avg,500,0.5993519759178162,0.1595678459245569
dag,10,0.2,256,2,100,attention,250,0.6115152168273926,0.1542694881563745
dag,10,0.2,256,2,100,attention,500,0.6085289919376373,0.1539161901874541
dag,10,0.2,256,5,10,avg,250,0.515233895778656,0.0953565024520728
dag,10,0.2,256,5,10,avg,500,0.5147236204147339,0.0868843983168571
dag,10,0.2,256,5,10,attention,250,0.571358995437622,0.0407976135086369
dag,10,0.2,256,5,10,attention,500,0.5722499060630798,0.0260362251695107
dag,10,0.2,256,5,25,avg,250,0.6191799294948578,0.1535619594408911
dag,10,0.2,256,5,25,avg,500,0.6091817498207093,0.1463182932711183
dag,10,0.2,256,5,25,attention,250,0.5801365745067596,0.118030098109424
dag,10,0.2,256,5,25,attention,500,0.5673164677619934,0.113816029857964
dag,10,0.2,256,5,50,avg,250,0.6141978573799133,0.1532964668986677
dag,10,0.2,256,5,50,avg,500,0.6173520159721374,0.1521973522677831
dag,10,0.2,256,5,50,attention,250,0.643624871969223,0.1622506375706558
dag,10,0.2,256,5,50,attention,500,0.6401050686836243,0.1593993845292358
dag,10,0.2,256,5,100,avg,250,0.6065962111949921,0.1652187567838551
dag,10,0.2,256,5,100,avg,500,0.6097606158256531,0.1649187519210973
dag,10,0.2,256,5,100,attention,250,0.5965937745571136,0.1555402300450216
dag,10,0.2,256,5,100,attention,500,0.5958835577964783,0.15487008276058328
